Enzyme1	Enzyme2
AKT3	EPHB2
ALK	EPHB2
ATM	EPHB2
ATR	EPHB2
AXL	EPHB2
BAZ1B	EPHB2
BCR	EPHB2
BLK	EPHB2
BLVRA	EPHB2
BMPR1A	EPHB2
BMPR1B	EPHB2
BMPR2	EPHB2
BRAF	EPHB2
BTK	EPHB2
BUB1	EPHB2
CAMK1G	EPHB2
CAMK2A	EPHB2
CAMK2D	EPHB2
CAMK2G	EPHB2
CAMK4	EPHB2
CAMKK2	EPHB2
CASK	EPHB2
CDC7	EPHB2
CDK12	EPHB2
CDK13	EPHB2
CDK14	EPHB2
CDK16	EPHB2
CDK19	EPHB2
CDK2	EPHB2
CDK3	EPHB2
CDK4	EPHB2
CDK5	EPHB2
CDK6	EPHB2
CDK7	EPHB2
CDK8	EPHB2
CDK9	EPHB2
CDKL1	EPHB2
CDKL4	EPHB2
CDKL5	EPHB2
COL4A3BP	EPHB2
CSK	EPHB2
DAPK1	EPHB2
DAPK2	EPHB2
DDR1	EPHB2
DDR2	EPHB2
DYRK1A	EPHB2
DYRK2	EPHB2
DYRK3	EPHB2
EEF2K	EPHB2
EGFR	EPHB2
ENPP3	EPHB2
EPHA1	EPHB2
EPHA10	EPHB2
EPHA2	EPHB2
EPHA3	EPHB2
EPHA4	EPHB2
EPHA5	EPHB2
EPHA6	EPHB2
EPHA7	EPHB2
EPHA8	EPHB2
EPHB1	EPHB2
EPHB3	EPHB2
EPHB4	EPHB2
EPHB6	EPHB2
ERBB2	EPHB2
ERBB3	EPHB2
ERBB4	EPHB2
FES	EPHB2
FGFR1	EPHB2
FGFR2	EPHB2
FGFR3	EPHB2
FGFR4	EPHB2
FGR	EPHB2
FLT1	EPHB2
FLT4	EPHB2
FYN	EPHB2
GSK3B	EPHB2
HCK	EPHB2
HIPK1	EPHB2
HIPK2	EPHB2
HSPA5	EPHB2
HUNK	EPHB2
ICK	EPHB2
IGF1R	EPHB2
ILK	EPHB2
IRAK1	EPHB2
IRAK2	EPHB2
IRAK3	EPHB2
ITK	EPHB2
JAK1	EPHB2
JAK2	EPHB2
KDR	EPHB2
KIT	EPHB2
KSR1	EPHB2
LCK	EPHB2
LIMK1	EPHB2
LIMK2	EPHB2
LYN	EPHB2
MAK	EPHB2
MAP2K1	EPHB2
MAP2K2	EPHB2
MAP2K3	EPHB2
MAP2K4	EPHB2
MAP2K5	EPHB2
MAP2K6	EPHB2
MAP2K7	EPHB2
MAP3K1	EPHB2
MAP3K2	EPHB2
MAP3K4	EPHB2
MAP3K5	EPHB2
MAP3K7	EPHB2
MAP3K8	EPHB2
MAP4K4	EPHB2
MAPKAPK3	EPHB2
MARK1	EPHB2
MARK3	EPHB2
MAST2	EPHB2
MASTL	EPHB2
MELK	EPHB2
MET	EPHB2
MLKL	EPHB2
MOK	EPHB2
MST4	EPHB2
NEK1	EPHB2
NEK2	EPHB2
NEK3	EPHB2
NEK4	EPHB2
NEK6	EPHB2
NEK7	EPHB2
NLK	EPHB2
NME1	EPHB2
NME2	EPHB2
NRBP1	EPHB2
NUAK1	EPHB2
NUAK2	EPHB2
OSR1	EPHB2
PAK1	EPHB2
PAK2	EPHB2
PAK3	EPHB2
PAK4	EPHB2
PAK6	EPHB2
PASK	EPHB2
PBK	EPHB2
PDGFRA	EPHB2
PDGFRB	EPHB2
PDK1	EPHB2
PIK3CA	EPHB2
PIK3CB	EPHB2
PIK3CD	EPHB2
PIK3CG	EPHB2
PIK3R4	EPHB2
PIKFYVE	EPHB2
PIM2	EPHB2
PIM3	EPHB2
PINK1	EPHB2
PKD2	EPHB2
PKN1	EPHB2
PKN2	EPHB2
PLK1	EPHB2
PLK2	EPHB2
PLK4	EPHB2
PRKX	EPHB2
PSKH1	EPHB2
RAF1	EPHB2
RIPK1	EPHB2
RIPK2	EPHB2
RIPK3	EPHB2
ROCK1	EPHB2
ROCK2	EPHB2
ROR1	EPHB2
ROR2	EPHB2
RYK	EPHB2
SCYL1	EPHB2
SCYL2	EPHB2
SGK1	EPHB2
SGK223	EPHB2
SGK494	EPHB2
SIK1	EPHB2
SLK	EPHB2
SMG1	EPHB2
SNRK	EPHB2
SPEG	EPHB2
SRC	EPHB2
SRM	EPHB2
SRPK1	EPHB2
SRPK2	EPHB2
STK33	EPHB2
SYK	EPHB2
TAF1	EPHB2
TBCK	EPHB2
TBK1	EPHB2
TEC	EPHB2
TESK1	EPHB2
TGFBR1	EPHB2
TGFBR2	EPHB2
TGM2	EPHB2
TIE1	EPHB2
TLK1	EPHB2
TLK2	EPHB2
TNIK	EPHB2
TRIO	EPHB2
TRRAP	EPHB2
TTBK2	EPHB2
TTK	EPHB2
TXK	EPHB2
TYK2	EPHB2
TYRO3	EPHB2
ULK1	EPHB2
ULK2	EPHB2
ULK3	EPHB2
VRK1	EPHB2
VRK2	EPHB2
VRK3	EPHB2
WEE1	EPHB2
WNK1	EPHB2
WNK4	EPHB2
ZAK	EPHB2
ZAP70	EPHB2
AAK1	EPHB3
ABL1	EPHB3
ACTR2	EPHB3
ADCK3	EPHB3
AKT1	EPHB3
ALK	EPHB3
BCKDK	EPHB3
BCR	EPHB3
BMPR1B	EPHB3
BMPR2	EPHB3
BMX	EPHB3
BRD2	EPHB3
BRD4	EPHB3
BUB1	EPHB3
CAMK2B	EPHB3
CAMK2G	EPHB3
CASK	EPHB3
CDC7	EPHB3
CDK10	EPHB3
CDK13	EPHB3
CDK14	EPHB3
CDK16	EPHB3
CDK5	EPHB3
CDK6	EPHB3
CDK7	EPHB3
CLK1	EPHB3
CLK2	EPHB3
CLK3	EPHB3
CSNK2B	EPHB3
DAPK1	EPHB3
DAPK2	EPHB3
DDR1	EPHB3
DDR2	EPHB3
DYRK3	EPHB3
EGFR	EPHB3
ENPP3	EPHB3
EPHA1	EPHB3
EPHA10	EPHB3
EPHA2	EPHB3
EPHA3	EPHB3
EPHA4	EPHB3
EPHA5	EPHB3
EPHA6	EPHB3
EPHA7	EPHB3
EPHA8	EPHB3
EPHB1	EPHB3
EPHB2	EPHB3
EPHB4	EPHB3
EPHB6	EPHB3
ERBB2	EPHB3
ERBB3	EPHB3
ERBB4	EPHB3
FER	EPHB3
FES	EPHB3
FGFR1	EPHB3
FGFR2	EPHB3
FGFR3	EPHB3
FGFR4	EPHB3
FLT1	EPHB3
FLT3	EPHB3
FLT4	EPHB3
FRK	EPHB3
FYN	EPHB3
GAK	EPHB3
GSK3B	EPHB3
HIPK1	EPHB3
HIPK3	EPHB3
HUNK	EPHB3
ICK	EPHB3
IGF1R	EPHB3
ILK	EPHB3
INSR	EPHB3
IRAK1	EPHB3
IRAK3	EPHB3
JAK1	EPHB3
KDR	EPHB3
KIT	EPHB3
KSR1	EPHB3
LATS2	EPHB3
LIMK1	EPHB3
LIMK2	EPHB3
LTK	EPHB3
LYN	EPHB3
MAP2K1	EPHB3
MAP2K3	EPHB3
MAP2K4	EPHB3
MAP2K6	EPHB3
MAP3K2	EPHB3
MAP3K3	EPHB3
MAP3K5	EPHB3
MAP3K6	EPHB3
MAP4K4	EPHB3
MAPKAPK3	EPHB3
MARK4	EPHB3
MAST1	EPHB3
MAST4	EPHB3
MELK	EPHB3
MET	EPHB3
MST1	EPHB3
MYT1	EPHB3
NEK2	EPHB3
NIM1	EPHB3
NLK	EPHB3
NME1	EPHB3
NME2	EPHB3
NRBP2	EPHB3
NRK	EPHB3
NUAK1	EPHB3
OBSCN	EPHB3
OSR1	EPHB3
PAK1	EPHB3
PAK2	EPHB3
PAK3	EPHB3
PAK4	EPHB3
PAK6	EPHB3
PASK	EPHB3
PBK	EPHB3
PDGFRA	EPHB3
PDGFRB	EPHB3
PDK1	EPHB3
PHKG1	EPHB3
PHKG2	EPHB3
PIK3CA	EPHB3
PIK3CG	EPHB3
PIK3R4	EPHB3
PINK1	EPHB3
PKD1	EPHB3
PKD2	EPHB3
PLK2	EPHB3
PLK3	EPHB3
PRKX	EPHB3
PRKY	EPHB3
RET	EPHB3
RIOK3	EPHB3
RIPK3	EPHB3
ROCK1	EPHB3
ROCK2	EPHB3
ROR1	EPHB3
ROR2	EPHB3
RYK	EPHB3
SCYL3	EPHB3
SGK1	EPHB3
SIK1	EPHB3
SRC	EPHB3
SYK	EPHB3
TBK1	EPHB3
TESK1	EPHB3
TGFBR1	EPHB3
TGFBR2	EPHB3
TGM2	EPHB3
TIE1	EPHB3
TTBK2	EPHB3
TTK	EPHB3
TTN	EPHB3
ULK1	EPHB3
ULK3	EPHB3
VRK2	EPHB3
VRK3	EPHB3
WEE1	EPHB3
WNK3	EPHB3
ZAP70	EPHB3
AAK1	EPHB4
ABL1	EPHB4
ACTR2	EPHB4
ADCK1	EPHB4
ADCK3	EPHB4
AKT2	EPHB4
AKT3	EPHB4
ALK	EPHB4
ATM	EPHB4
ATR	EPHB4
AXL	EPHB4
BAZ1B	EPHB4
BCKDK	EPHB4
BCR	EPHB4
BLK	EPHB4
BMPR1A	EPHB4
BRAF	EPHB4
BRD2	EPHB4
BRD3	EPHB4
BRD4	EPHB4
BTK	EPHB4
BUB1	EPHB4
CAMK1G	EPHB4
CAMK2B	EPHB4
CAMK2D	EPHB4
CAMK2G	EPHB4
CAMK4	EPHB4
CAMKK2	EPHB4
CASK	EPHB4
CDC7	EPHB4
CDK11A	EPHB4
CDK12	EPHB4
CDK13	EPHB4
CDK14	EPHB4
CDK16	EPHB4
CDK19	EPHB4
CDK2	EPHB4
CDK20	EPHB4
CDK3	EPHB4
CDK4	EPHB4
CDK5	EPHB4
CDK6	EPHB4
CDK8	EPHB4
CDK9	EPHB4
CDKL4	EPHB4
CDKL5	EPHB4
CLK1	EPHB4
CLK4	EPHB4
COL4A3BP	EPHB4
DAPK2	EPHB4
DDR1	EPHB4
DDR2	EPHB4
DYRK1A	EPHB4
DYRK2	EPHB4
EEF2K	EPHB4
EGFR	EPHB4
ENPP3	EPHB4
EPHA1	EPHB4
EPHA10	EPHB4
EPHA2	EPHB4
EPHA3	EPHB4
EPHA4	EPHB4
EPHA5	EPHB4
EPHA6	EPHB4
EPHA7	EPHB4
EPHA8	EPHB4
EPHB1	EPHB4
EPHB2	EPHB4
EPHB3	EPHB4
EPHB6	EPHB4
ERBB2	EPHB4
ERBB3	EPHB4
ERBB4	EPHB4
FASTK	EPHB4
FER	EPHB4
FES	EPHB4
FGFR1	EPHB4
FGFR2	EPHB4
FGFR3	EPHB4
FGFR4	EPHB4
FGR	EPHB4
FLT1	EPHB4
FLT3	EPHB4
FLT4	EPHB4
FYN	EPHB4
GSK3B	EPHB4
HCK	EPHB4
HIPK2	EPHB4
HSPA5	EPHB4
ICK	EPHB4
IGF1R	EPHB4
ILK	EPHB4
IRAK1	EPHB4
IRAK2	EPHB4
IRAK3	EPHB4
ITK	EPHB4
JAK1	EPHB4
KDR	EPHB4
KIT	EPHB4
LATS2	EPHB4
LCK	EPHB4
LIMK1	EPHB4
LIMK2	EPHB4
LYN	EPHB4
MAK	EPHB4
MAP2K1	EPHB4
MAP2K2	EPHB4
MAP2K3	EPHB4
MAP2K4	EPHB4
MAP2K5	EPHB4
MAP2K6	EPHB4
MAP2K7	EPHB4
MAP3K1	EPHB4
MAP3K4	EPHB4
MAP3K5	EPHB4
MAP3K7	EPHB4
MAP3K8	EPHB4
MAP4K4	EPHB4
MAPKAPK2	EPHB4
MAPKAPK3	EPHB4
MARK1	EPHB4
MAST2	EPHB4
MAST4	EPHB4
MASTL	EPHB4
MELK	EPHB4
MET	EPHB4
MOK	EPHB4
MST1	EPHB4
MST4	EPHB4
NEK2	EPHB4
NEK3	EPHB4
NEK4	EPHB4
NEK7	EPHB4
NEK9	EPHB4
NLK	EPHB4
NME1	EPHB4
NRBP1	EPHB4
NRK	EPHB4
NUAK1	EPHB4
NUAK2	EPHB4
OSR1	EPHB4
PAK1	EPHB4
PAK2	EPHB4
PAK3	EPHB4
PAK4	EPHB4
PAK6	EPHB4
PASK	EPHB4
PBK	EPHB4
PDGFRA	EPHB4
PDGFRB	EPHB4
PDK1	EPHB4
PIK3CA	EPHB4
PIK3CD	EPHB4
PIK3CG	EPHB4
PIM1	EPHB4
PIM2	EPHB4
PIM3	EPHB4
PINK1	EPHB4
PKD1	EPHB4
PKD2	EPHB4
PKN1	EPHB4
PKN3	EPHB4
PLK1	EPHB4
PLK2	EPHB4
PLK4	EPHB4
PRKY	EPHB4
RAF1	EPHB4
RET	EPHB4
RIOK1	EPHB4
RIOK3	EPHB4
RIPK1	EPHB4
RIPK2	EPHB4
RIPK3	EPHB4
ROCK1	EPHB4
ROCK2	EPHB4
ROR1	EPHB4
ROR2	EPHB4
RYK	EPHB4
SCYL2	EPHB4
SCYL3	EPHB4
SGK1	EPHB4
SGK196	EPHB4
SGK494	EPHB4
SIK1	EPHB4
SLK	EPHB4
SMG1	EPHB4
SPEG	EPHB4
SRC	EPHB4
SRPK1	EPHB4
SRPK2	EPHB4
STK33	EPHB4
TAF1	EPHB4
TBK1	EPHB4
TESK1	EPHB4
TGFBR1	EPHB4
TGM2	EPHB4
TIE1	EPHB4
TNIK	EPHB4
TRIO	EPHB4
TRRAP	EPHB4
TTK	EPHB4
TXK	EPHB4
TYK2	EPHB4
TYRO3	EPHB4
ULK1	EPHB4
ULK3	EPHB4
VRK1	EPHB4
VRK2	EPHB4
VRK3	EPHB4
WEE1	EPHB4
WNK1	EPHB4
ZAK	EPHB4
AAK1	EPHB6
ABL1	EPHB6
ACTR2	EPHB6
AKT1	EPHB6
AKT2	EPHB6
ATR	EPHB6
AXL	EPHB6
BRD2	EPHB6
BRD3	EPHB6
BUB1	EPHB6
CAMK1G	EPHB6
CAMK2B	EPHB6
CAMK2G	EPHB6
CAMK4	EPHB6
CDC7	EPHB6
CDK13	EPHB6
CDK14	EPHB6
CDK16	EPHB6
CDK5	EPHB6
CDK7	EPHB6
CLK1	EPHB6
CLK3	EPHB6
COL4A3BP	EPHB6
CSNK2B	EPHB6
DAPK2	EPHB6
DAPK3	EPHB6
DDR1	EPHB6
DDR2	EPHB6
DYRK4	EPHB6
EGFR	EPHB6
EPHA1	EPHB6
EPHA10	EPHB6
EPHA2	EPHB6
EPHA3	EPHB6
EPHA4	EPHB6
EPHA5	EPHB6
EPHA6	EPHB6
EPHA7	EPHB6
EPHA8	EPHB6
EPHB1	EPHB6
EPHB2	EPHB6
EPHB3	EPHB6
EPHB4	EPHB6
ERBB2	EPHB6
FES	EPHB6
FGFR1	EPHB6
FGFR2	EPHB6
FGFR3	EPHB6
FGFR4	EPHB6
FLT4	EPHB6
FYN	EPHB6
GSK3B	EPHB6
GTF2F1	EPHB6
HUNK	EPHB6
IGF1R	EPHB6
ILK	EPHB6
INSR	EPHB6
IRAK1	EPHB6
IRAK2	EPHB6
KDR	EPHB6
KIT	EPHB6
LATS2	EPHB6
LCK	EPHB6
LIMK1	EPHB6
LIMK2	EPHB6
MAP2K1	EPHB6
MAP2K3	EPHB6
MAP2K4	EPHB6
MAP2K5	EPHB6
MAP2K6	EPHB6
MAP3K8	EPHB6
MAPKAPK2	EPHB6
MAST2	EPHB6
MAST3	EPHB6
MAST4	EPHB6
MELK	EPHB6
MET	EPHB6
MST4	EPHB6
NRBP2	EPHB6
NUAK1	EPHB6
PAK1	EPHB6
PAK2	EPHB6
PAK3	EPHB6
PAK4	EPHB6
PAK6	EPHB6
PDGFRA	EPHB6
PDGFRB	EPHB6
PIK3CB	EPHB6
PIK3CD	EPHB6
PIKFYVE	EPHB6
PIM1	EPHB6
PIM3	EPHB6
PINK1	EPHB6
PKD2	EPHB6
PLK2	EPHB6
PLK4	EPHB6
ROCK1	EPHB6
ROCK2	EPHB6
SRPK1	EPHB6
SRPK2	EPHB6
TBK1	EPHB6
TESK1	EPHB6
TESK2	EPHB6
TGFBR2	EPHB6
TGM2	EPHB6
TIE1	EPHB6
TLK2	EPHB6
TRRAP	EPHB6
TTK	EPHB6
ULK2	EPHB6
ZAK	EPHB6
ZAP70	EPHB6
AAK1	ERBB2
ABL1	ERBB2
ABL2	ERBB2
ADCK1	ERBB2
ADCK2	ERBB2
ADCK3	ERBB2
AKT1	ERBB2
AKT2	ERBB2
AKT3	ERBB2
ALK	ERBB2
ARAF	ERBB2
ATM	ERBB2
ATR	ERBB2
AXL	ERBB2
BAZ1B	ERBB2
BCKDK	ERBB2
BCR	ERBB2
BLK	ERBB2
BLVRA	ERBB2
BMPR1A	ERBB2
BMPR1B	ERBB2
BMX	ERBB2
BRAF	ERBB2
BRD2	ERBB2
BRD4	ERBB2
BRSK1	ERBB2
BRSK2	ERBB2
BUB1	ERBB2
CAMK2A	ERBB2
CAMK2B	ERBB2
CAMK2D	ERBB2
CAMK2G	ERBB2
CAMK4	ERBB2
CAMKK1	ERBB2
CAMKK2	ERBB2
CASK	ERBB2
CDC7	ERBB2
CDK10	ERBB2
CDK11A	ERBB2
CDK11B	ERBB2
CDK12	ERBB2
CDK13	ERBB2
CDK14	ERBB2
CDK16	ERBB2
CDK19	ERBB2
CDK2	ERBB2
CDK20	ERBB2
CDK4	ERBB2
CDK5	ERBB2
CDK6	ERBB2
CDK8	ERBB2
CDK9	ERBB2
CDKL1	ERBB2
CDKL2	ERBB2
CDKL3	ERBB2
CDKL5	ERBB2
CLK1	ERBB2
CLK3	ERBB2
CLK4	ERBB2
COL4A3BP	ERBB2
CSK	ERBB2
CSNK2B	ERBB2
DAPK1	ERBB2
DAPK2	ERBB2
DAPK3	ERBB2
DDR1	ERBB2
DDR2	ERBB2
DYRK1A	ERBB2
DYRK2	ERBB2
DYRK4	ERBB2
EEF2K	ERBB2
EGFR	ERBB2
EPHA1	ERBB2
EPHA10	ERBB2
EPHA2	ERBB2
EPHA3	ERBB2
EPHA4	ERBB2
EPHA5	ERBB2
EPHA6	ERBB2
EPHA7	ERBB2
EPHA8	ERBB2
EPHB1	ERBB2
EPHB2	ERBB2
EPHB3	ERBB2
EPHB4	ERBB2
EPHB6	ERBB2
ERBB3	ERBB2
ERBB4	ERBB2
FAM20C	ERBB2
FASTK	ERBB2
FER	ERBB2
FES	ERBB2
FGFR1	ERBB2
FGFR2	ERBB2
FGFR3	ERBB2
FGFR4	ERBB2
FGR	ERBB2
FLT1	ERBB2
FLT3	ERBB2
FLT4	ERBB2
FRK	ERBB2
FYN	ERBB2
GAK	ERBB2
GCK	ERBB2
GSK3A	ERBB2
GSK3B	ERBB2
HCK	ERBB2
HER2	ERBB2
HER3	ERBB2
HER4	ERBB2
HIPK1	ERBB2
HIPK2	ERBB2
HIPK3	ERBB2
HSPA5	ERBB2
ICK	ERBB2
IGF1R	ERBB2
ILK	ERBB2
INSR	ERBB2
IRAK2	ERBB2
IRAK3	ERBB2
ITK	ERBB2
JAK1	ERBB2
JAK2	ERBB2
KDR	ERBB2
KIT	ERBB2
KSR1	ERBB2
LATS1	ERBB2
LATS2	ERBB2
LCK	ERBB2
LIMK1	ERBB2
LIMK2	ERBB2
LRRK1	ERBB2
LTK	ERBB2
LYN	ERBB2
MAK	ERBB2
MAP2K1	ERBB2
MAP2K2	ERBB2
MAP2K3	ERBB2
MAP2K4	ERBB2
MAP2K5	ERBB2
MAP2K6	ERBB2
MAP2K7	ERBB2
MAP3K1	ERBB2
MAP3K4	ERBB2
MAP3K5	ERBB2
MAP3K6	ERBB2
MAP3K7	ERBB2
MAP3K8	ERBB2
MAP4K4	ERBB2
MAPKAPK3	ERBB2
MARK1	ERBB2
MARK2	ERBB2
MARK3	ERBB2
MAST1	ERBB2
MAST2	ERBB2
MAST4	ERBB2
MELK	ERBB2
MET	ERBB2
MLKL	ERBB2
MOK	ERBB2
MOS	ERBB2
MST1	ERBB2
MST4	ERBB2
MUSK	ERBB2
MYO3A	ERBB2
MYT1	ERBB2
NEK1	ERBB2
NEK10	ERBB2
NEK11	ERBB2
NEK2	ERBB2
NEK3	ERBB2
NEK7	ERBB2
NEK8	ERBB2
NLK	ERBB2
NME1	ERBB2
NME2	ERBB2
NRK	ERBB2
NUAK1	ERBB2
NUAK2	ERBB2
OBSCN	ERBB2
OSR1	ERBB2
PAK1	ERBB2
PAK2	ERBB2
PAK3	ERBB2
PAK4	ERBB2
PAK6	ERBB2
PASK	ERBB2
PBK	ERBB2
PDGFRA	ERBB2
PDGFRB	ERBB2
PDK1	ERBB2
PHKG1	ERBB2
PHKG2	ERBB2
PIK3CA	ERBB2
PIK3CB	ERBB2
PIK3CD	ERBB2
PIK3CG	ERBB2
PIM1	ERBB2
PIM2	ERBB2
PIM3	ERBB2
PINK1	ERBB2
PKD2	ERBB2
PKN1	ERBB2
PKN2	ERBB2
PKN3	ERBB2
PLK1	ERBB2
PLK2	ERBB2
PLK4	ERBB2
PRKAB1	ERBB2
PRKX	ERBB2
PSKH1	ERBB2
RAF1	ERBB2
RET	ERBB2
RIOK1	ERBB2
RIOK3	ERBB2
RIPK1	ERBB2
RIPK2	ERBB2
RIPK3	ERBB2
RNASEL	ERBB2
ROCK1	ERBB2
ROCK2	ERBB2
ROR1	ERBB2
ROR2	ERBB2
RYK	ERBB2
SCYL3	ERBB2
SGK1	ERBB2
SGK196	ERBB2
SGK223	ERBB2
SGK3	ERBB2
SGK494	ERBB2
SIK1	ERBB2
SLK	ERBB2
SNRK	ERBB2
SPEG	ERBB2
SRC	ERBB2
SRM	ERBB2
SRPK2	ERBB2
STK33	ERBB2
SYK	ERBB2
TAF1	ERBB2
TBK1	ERBB2
TEC	ERBB2
TESK1	ERBB2
TESK2	ERBB2
TGFBR1	ERBB2
TGFBR2	ERBB2
TGM2	ERBB2
TIE1	ERBB2
TLK2	ERBB2
TNIK	ERBB2
TNK1	ERBB2
TRIO	ERBB2
TTK	ERBB2
TYK2	ERBB2
TYRO3	ERBB2
ULK1	ERBB2
ULK3	ERBB2
ULK4	ERBB2
VRK1	ERBB2
VRK2	ERBB2
VRK3	ERBB2
WEE1	ERBB2
WNK1	ERBB2
WNK4	ERBB2
ZAK	ERBB2
AAK1	ERBB3
ABL1	ERBB3
ABL2	ERBB3
ACTR2	ERBB3
ADCK3	ERBB3
AKT1	ERBB3
AKT2	ERBB3
AKT3	ERBB3
ALK	ERBB3
ARAF	ERBB3
ATM	ERBB3
ATR	ERBB3
AXL	ERBB3
BAZ1B	ERBB3
BCR	ERBB3
BLVRA	ERBB3
BMPR1A	ERBB3
BMPR1B	ERBB3
BRAF	ERBB3
BRD2	ERBB3
BRD3	ERBB3
BRDT	ERBB3
BTK	ERBB3
BUB1	ERBB3
CAMK2A	ERBB3
CAMK2B	ERBB3
CAMK2D	ERBB3
CAMK2G	ERBB3
CAMK4	ERBB3
CAMKK1	ERBB3
CAMKK2	ERBB3
CASK	ERBB3
CDC7	ERBB3
CDK10	ERBB3
CDK11A	ERBB3
CDK11B	ERBB3
CDK12	ERBB3
CDK13	ERBB3
CDK14	ERBB3
CDK16	ERBB3
CDK19	ERBB3
CDK2	ERBB3
CDK20	ERBB3
CDK3	ERBB3
CDK4	ERBB3
CDK5	ERBB3
CDK6	ERBB3
CDK7	ERBB3
CDK8	ERBB3
CDK9	ERBB3
CDKL3	ERBB3
CDKL4	ERBB3
CDKL5	ERBB3
CLK1	ERBB3
CLK2	ERBB3
COL4A3BP	ERBB3
CSK	ERBB3
DAPK1	ERBB3
DAPK2	ERBB3
DDR1	ERBB3
DYRK1A	ERBB3
DYRK2	ERBB3
EGFR	ERBB3
ENPP3	ERBB3
EPHA1	ERBB3
EPHA10	ERBB3
EPHA2	ERBB3
EPHA3	ERBB3
EPHA4	ERBB3
EPHA5	ERBB3
EPHA6	ERBB3
EPHB1	ERBB3
EPHB2	ERBB3
EPHB3	ERBB3
EPHB4	ERBB3
ERBB2	ERBB3
ERBB4	ERBB3
FAM20C	ERBB3
FER	ERBB3
FGFR1	ERBB3
FGFR2	ERBB3
FGFR3	ERBB3
FGFR4	ERBB3
FGR	ERBB3
FLT1	ERBB3
FLT3	ERBB3
FRK	ERBB3
FYN	ERBB3
GAK	ERBB3
GSK3A	ERBB3
GSK3B	ERBB3
HCK	ERBB3
HER2	ERBB3
HER3	ERBB3
HER4	ERBB3
HIPK1	ERBB3
HIPK2	ERBB3
HIPK3	ERBB3
HSPA5	ERBB3
ICK	ERBB3
IGF1R	ERBB3
INSR	ERBB3
IRAK1	ERBB3
IRAK2	ERBB3
IRAK3	ERBB3
ITK	ERBB3
JAK1	ERBB3
JAK2	ERBB3
JAK3	ERBB3
KDR	ERBB3
KIT	ERBB3
KSR1	ERBB3
KSR2	ERBB3
LCK	ERBB3
LIMK1	ERBB3
LIMK2	ERBB3
LRRK1	ERBB3
LYN	ERBB3
MAK	ERBB3
MAP2K1	ERBB3
MAP2K2	ERBB3
MAP2K3	ERBB3
MAP2K4	ERBB3
MAP2K5	ERBB3
MAP2K6	ERBB3
MAP2K7	ERBB3
MAP3K1	ERBB3
MAP3K2	ERBB3
MAP3K3	ERBB3
MAP3K5	ERBB3
MAP3K6	ERBB3
MAP3K8	ERBB3
MAP4K4	ERBB3
MAPKAPK2	ERBB3
MAPKAPK3	ERBB3
MARK1	ERBB3
MARK2	ERBB3
MARK3	ERBB3
MARK4	ERBB3
MAST1	ERBB3
MAST3	ERBB3
MAST4	ERBB3
MASTL	ERBB3
MELK	ERBB3
MET	ERBB3
MLKL	ERBB3
MST1	ERBB3
MST4	ERBB3
MUSK	ERBB3
MYT1	ERBB3
NEK10	ERBB3
NEK11	ERBB3
NEK2	ERBB3
NEK3	ERBB3
NEK4	ERBB3
NEK7	ERBB3
NEK9	ERBB3
NLK	ERBB3
NME1	ERBB3
NME2	ERBB3
NRBP1	ERBB3
NRK	ERBB3
NUAK1	ERBB3
NUAK2	ERBB3
PAK1	ERBB3
PAK2	ERBB3
PAK3	ERBB3
PAK4	ERBB3
PAK6	ERBB3
PASK	ERBB3
PBK	ERBB3
PDGFRA	ERBB3
PDGFRB	ERBB3
PHKG1	ERBB3
PHKG2	ERBB3
PIK3CA	ERBB3
PIK3CB	ERBB3
PIK3CD	ERBB3
PIK3CG	ERBB3
PIK3R4	ERBB3
PIKFYVE	ERBB3
PIM1	ERBB3
PINK1	ERBB3
PKD1	ERBB3
PKN1	ERBB3
PKN2	ERBB3
PKN3	ERBB3
PLK1	ERBB3
PLK2	ERBB3
PLK3	ERBB3
PLK4	ERBB3
PRKX	ERBB3
RAF1	ERBB3
RET	ERBB3
RIOK1	ERBB3
RIOK3	ERBB3
RIPK1	ERBB3
RIPK2	ERBB3
RIPK3	ERBB3
RNASEL	ERBB3
ROCK1	ERBB3
ROR1	ERBB3
ROR2	ERBB3
RYK	ERBB3
SCYL1	ERBB3
SCYL3	ERBB3
SGK1	ERBB3
SGK2	ERBB3
SGK223	ERBB3
SGK494	ERBB3
SIK1	ERBB3
SLK	ERBB3
SMG1	ERBB3
SNRK	ERBB3
SPEG	ERBB3
SRC	ERBB3
SRM	ERBB3
SRPK1	ERBB3
SRPK2	ERBB3
STK33	ERBB3
SYK	ERBB3
TAF1	ERBB3
TBCK	ERBB3
TBK1	ERBB3
TEC	ERBB3
TESK1	ERBB3
TESK2	ERBB3
TGFBR1	ERBB3
TGFBR2	ERBB3
TGM2	ERBB3
TLK1	ERBB3
TLK2	ERBB3
TNIK	ERBB3
TNK1	ERBB3
TRIO	ERBB3
TRRAP	ERBB3
TTBK2	ERBB3
TTK	ERBB3
TTN	ERBB3
TXK	ERBB3
ULK1	ERBB3
ULK3	ERBB3
ULK4	ERBB3
VRK1	ERBB3
VRK3	ERBB3
WEE1	ERBB3
WNK1	ERBB3
WNK2	ERBB3
WNK4	ERBB3
ZAK	ERBB3
ZAP70	ERBB3
AAK1	ERBB4
ABL1	ERBB4
ABL2	ERBB4
ADCK3	ERBB4
AKT1	ERBB4
AKT2	ERBB4
AKT3	ERBB4
ARAF	ERBB4
ATM	ERBB4
