Enzyme1	Enzyme2
IGF1R	ABL1
ILK	ABL1
INSR	ABL1
IRAK1	ABL1
IRAK2	ABL1
IRAK3	ABL1
IRAK4	ABL1
ITK	ABL1
JAK1	ABL1
JAK2	ABL1
JAK3	ABL1
KIT	ABL1
KSR1	ABL1
LATS1	ABL1
LATS2	ABL1
LCK	ABL1
LIMK1	ABL1
LIMK2	ABL1
LTK	ABL1
LYN	ABL1
MAP2K1	ABL1
MAP2K2	ABL1
MAP2K3	ABL1
MAP2K4	ABL1
MAP2K5	ABL1
MAP2K6	ABL1
MAP2K7	ABL1
MAP3K1	ABL1
MAP3K2	ABL1
MAP3K3	ABL1
MAP3K5	ABL1
MAP4K4	ABL1
MAPKAPK2	ABL1
MAPKAPK3	ABL1
MARK3	ABL1
MARK4	ABL1
MAST2	ABL1
MAST4	ABL1
MASTL	ABL1
MET	ABL1
NEK1	ABL1
NEK3	ABL1
NEK6	ABL1
NEK7	ABL1
NEK9	ABL1
NLK	ABL1
NME1	ABL1
NRK	ABL1
PAK1	ABL1
PAK2	ABL1
PAK3	ABL1
PAK4	ABL1
PAK6	ABL1
PDGFRA	ABL1
PDGFRB	ABL1
PDK1	ABL1
PHKG1	ABL1
PHKG2	ABL1
PIK3CA	ABL1
PIK3CB	ABL1
PIK3CD	ABL1
PIK3CG	ABL1
PIK3R4	ABL1
PIKFYVE	ABL1
PIM1	ABL1
PIM2	ABL1
PKD1	ABL1
PKD2	ABL1
PKN1	ABL1
PKN2	ABL1
PLK1	ABL1
PLK2	ABL1
PLK3	ABL1
PLK4	ABL1
PRKAB1	ABL1
PRKX	ABL1
PRKY	ABL1
PSKH1	ABL1
RAF1	ABL1
RET	ABL1
RIOK3	ABL1
RIPK1	ABL1
RIPK2	ABL1
RNASEL	ABL1
ROCK1	ABL1
ROCK2	ABL1
ROR2	ABL1
RYK	ABL1
SCYL3	ABL1
SGK1	ABL1
SGK2	ABL1
SGK3	ABL1
SIK1	ABL1
SLK	ABL1
SNRK	ABL1
SRC	ABL1
SRPK1	ABL1
SRPK2	ABL1
SYK	ABL1
TAF1	ABL1
TBK1	ABL1
TEC	ABL1
TESK1	ABL1
TGFBR1	ABL1
TGFBR2	ABL1
TGM2	ABL1
TIE1	ABL1
TLK1	ABL1
TLK2	ABL1
TNIK	ABL1
TNK1	ABL1
TRIO	ABL1
TTBK2	ABL1
TTK	ABL1
TTN	ABL1
TXK	ABL1
TYK2	ABL1
ULK1	ABL1
ULK2	ABL1
VRK1	ABL1
VRK2	ABL1
VRK3	ABL1
WEE1	ABL1
WNK1	ABL1
ZAP70	ABL1
AAK1	ABL2
ABL1	ABL2
AKT1	ABL2
AKT2	ABL2
AKT3	ABL2
ALK	ABL2
ARAF	ABL2
ATM	ABL2
AXL	ABL2
BCR	ABL2
BLVRA	ABL2
BMPR1A	ABL2
BMPR2	ABL2
BRAF	ABL2
BRD2	ABL2
BRD4	ABL2
BUB1	ABL2
CAMK1G	ABL2
CAMK2A	ABL2
CAMK2B	ABL2
CAMK2D	ABL2
CAMK2G	ABL2
CAMKK1	ABL2
CASK	ABL2
CDC7	ABL2
CDK12	ABL2
CDK14	ABL2
CDK19	ABL2
CDK2	ABL2
CDK4	ABL2
CDK5	ABL2
CDK6	ABL2
CDK7	ABL2
CDK8	ABL2
CDKL3	ABL2
CDKL5	ABL2
CLK1	ABL2
CLK2	ABL2
CLK4	ABL2
CSK	ABL2
CSNK2B	ABL2
DAPK3	ABL2
DDR2	ABL2
DYRK1B	ABL2
DYRK3	ABL2
DYRK4	ABL2
EEF2K	ABL2
EGFR	ABL2
EPHA7	ABL2
EPHB2	ABL2
ERBB2	ABL2
ERBB3	ABL2
ERBB4	ABL2
FASTK	ABL2
FER	ABL2
FES	ABL2
FGFR1	ABL2
FGFR2	ABL2
FGFR3	ABL2
FGFR4	ABL2
FLT3	ABL2
FLT4	ABL2
FYN	ABL2
GCK	ABL2
GSK3B	ABL2
HCK	ABL2
HIPK1	ABL2
HIPK2	ABL2
HIPK3	ABL2
HSPA5	ABL2
HUNK	ABL2
ICK	ABL2
IGF1R	ABL2
ILK	ABL2
INSR	ABL2
IRAK1	ABL2
IRAK2	ABL2
ITK	ABL2
JAK1	ABL2
JAK2	ABL2
JAK3	ABL2
KIT	ABL2
LATS2	ABL2
LCK	ABL2
LIMK1	ABL2
LIMK2	ABL2
LYN	ABL2
MAK	ABL2
MAP2K1	ABL2
MAP2K2	ABL2
MAP2K3	ABL2
MAP2K4	ABL2
MAP2K6	ABL2
MAP2K7	ABL2
MAP3K2	ABL2
MAP3K4	ABL2
MAP3K5	ABL2
MAP3K6	ABL2
MAP3K8	ABL2
MAP4K4	ABL2
MAPKAPK3	ABL2
MARK3	ABL2
MET	ABL2
MLKL	ABL2
NEK2	ABL2
NEK4	ABL2
NEK6	ABL2
NEK7	ABL2
NME1	ABL2
NRBP2	ABL2
NUAK1	ABL2
OBSCN	ABL2
PAK1	ABL2
PAK2	ABL2
PAK3	ABL2
PAK4	ABL2
PAK6	ABL2
PBK	ABL2
PDGFRA	ABL2
PDGFRB	ABL2
PDK1	ABL2
PIK3CA	ABL2
PIK3CB	ABL2
PIK3CD	ABL2
PIK3CG	ABL2
PIKFYVE	ABL2
PIM1	ABL2
PIM3	ABL2
PKD1	ABL2
PLK1	ABL2
PLK2	ABL2
PLK3	ABL2
PLK4	ABL2
PRKX	ABL2
PSKH1	ABL2
RAF1	ABL2
RET	ABL2
RIOK3	ABL2
RIPK1	ABL2
RIPK2	ABL2
RIPK3	ABL2
ROCK1	ABL2
ROCK2	ABL2
ROR1	ABL2
SCYL1	ABL2
SGK1	ABL2
SIK1	ABL2
SLK	ABL2
SPEG	ABL2
SRC	ABL2
SRM	ABL2
SRPK1	ABL2
SRPK2	ABL2
SYK	ABL2
TBK1	ABL2
TEC	ABL2
TGFBR1	ABL2
TGFBR2	ABL2
TGM2	ABL2
TNIK	ABL2
TRIO	ABL2
TTBK1	ABL2
TTBK2	ABL2
TYRO3	ABL2
ULK1	ABL2
ULK2	ABL2
WEE1	ABL2
WNK1	ABL2
WNK4	ABL2
ZAK	ABL2
TNK1	ACK
AAK1	ACTR2
ABL1	ACTR2
ACTR2B	ACTR2
ADCK3	ACTR2
AKT1	ACTR2
AKT2	ACTR2
AKT3	ACTR2
ALK1	ACTR2
ALK2	ACTR2
ALK4	ACTR2
ALK7	ACTR2
ARAF	ACTR2
ATM	ACTR2
ATR	ACTR2
AXL	ACTR2
BAZ1B	ACTR2
BCR	ACTR2
BLK	ACTR2
BLVRA	ACTR2
BMPR1A	ACTR2
BMPR1APS1	ACTR2
BMPR1APS2	ACTR2
BMPR1B	ACTR2
BMPR2	ACTR2
BRAF	ACTR2
BRD2	ACTR2
BRD3	ACTR2
BTK	ACTR2
BUB1	ACTR2
CAMK1D	ACTR2
CAMK1G	ACTR2
CAMK2A	ACTR2
CAMK2B	ACTR2
CAMK2D	ACTR2
CAMK2G	ACTR2
CAMK4	ACTR2
CAMKK2	ACTR2
CASK	ACTR2
CDC7	ACTR2
CDK10	ACTR2
CDK11B	ACTR2
CDK12	ACTR2
CDK13	ACTR2
CDK14	ACTR2
CDK16	ACTR2
CDK19	ACTR2
CDK2	ACTR2
CDK4	ACTR2
CDK5	ACTR2
CDK6	ACTR2
CDK7	ACTR2
CDK8	ACTR2
CDK9	ACTR2
CDKL1	ACTR2
CDKL3	ACTR2
CLK1	ACTR2
CLK2	ACTR2
CLK4	ACTR2
COL4A3BP	ACTR2
CSK	ACTR2
CSNK2B	ACTR2
DAPK1	ACTR2
DAPK2	ACTR2
DAPK3	ACTR2
DDR1	ACTR2
DDR2	ACTR2
DYRK1A	ACTR2
DYRK2	ACTR2
DYRK3	ACTR2
EGFR	ACTR2
EPHA2	ACTR2
EPHA3	ACTR2
EPHA4	ACTR2
EPHA5	ACTR2
EPHA7	ACTR2
EPHB2	ACTR2
EPHB3	ACTR2
EPHB4	ACTR2
EPHB6	ACTR2
ERBB3	ACTR2
FAM20C	ACTR2
FASTK	ACTR2
FER	ACTR2
FES	ACTR2
FGFR1	ACTR2
FGFR2	ACTR2
FGFR3	ACTR2
FGFR4	ACTR2
FGR	ACTR2
FLT1	ACTR2
FLT3	ACTR2
FYN	ACTR2
GAK	ACTR2
GSK3A	ACTR2
GSK3B	ACTR2
GTF2F1	ACTR2
HCK	ACTR2
HIPK1	ACTR2
HIPK3	ACTR2
HSPA5	ACTR2
ICK	ACTR2
IGF1R	ACTR2
ILK	ACTR2
INSR	ACTR2
IRAK1	ACTR2
IRAK2	ACTR2
